antecedents,consequents,support,confidence,lift,leverage
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'LowFuelLoad_LowFuelLoad_Low'})",0.5,1.0,2.0,0.25
"frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})","frozenset({'Soft_Soft_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Soft_Soft_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Soft_Soft_Low', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Soft_Soft_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Soft_Soft_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Soft_Soft_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})","frozenset({'Medium_Medium_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Medium_Medium_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Medium_Medium_Low', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Medium_Medium_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Medium_Medium_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Medium_Medium_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector2Time_Sector2Time_Low', 'Hard_Hard_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Hard_Hard_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Hard_Hard_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Hard_Hard_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector3Time_Sector3Time_Low', 'Hard_Hard_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector2Time_Sector2Time_Low', 'Hard_Hard_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})","frozenset({'Intermediate_Intermediate_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Intermediate_Intermediate_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Intermediate_Intermediate_Low', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Intermediate_Intermediate_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Intermediate_Intermediate_Low'})",0.5,1.0,2.0,0.25
