Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver_1,driver_2,race_bit_0,race_bit_1,race_bit_2,race_bit_3,race_bit_4
19,77859,20.0,21640,25070,31149,0,14.0,1,15.0,0,0,0,25953.0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
20,77808,21.0,21701,24914,31193,0,15.0,1,15.0,0,0,0,25936.0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
21,77696,22.0,21629,24857,31210,1,16.0,1,15.0,0,0,0,25898.666666666668,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
22,77780,23.0,21618,24965,31197,0,17.0,1,15.0,0,0,0,25926.666666666668,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
23,77643,24.0,21637,24895,31111,1,18.0,1,15.0,0,0,0,25881.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
24,77781,25.0,21542,25031,31208,0,19.0,1,15.0,0,0,0,25927.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
25,78210,26.0,21723,25146,31341,0,20.0,1,15.0,0,0,0,26070.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
26,77503,27.0,21681,24787,31035,1,21.0,1,15.0,0,0,0,25834.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
27,78044,28.0,21589,25216,31239,0,22.0,1,15.0,0,0,0,26014.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
28,77805,29.0,21578,25059,31168,0,23.0,1,15.0,0,0,0,25935.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
29,77617,30.0,21672,24890,31055,0,24.0,1,15.0,0,0,0,25872.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
30,77869,31.0,21781,24930,31158,0,25.0,1,15.0,0,0,0,25956.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
31,77889,32.0,21753,24934,31202,0,26.0,1,15.0,0,0,0,25963.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
32,78349,33.0,21960,25059,31330,0,27.0,1,14.0,0,0,0,26116.33333333333,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
33,78866,34.0,22397,25378,31091,0,28.0,1,13.0,0,0,0,26288.666666666668,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
34,77439,35.0,21573,24759,31107,1,29.0,1,13.0,0,0,0,25813.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
35,77846,36.0,21684,24863,31299,0,30.0,1,13.0,0,0,0,25948.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
36,77383,37.0,21533,24824,31026,1,31.0,1,13.0,0,0,0,25794.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
37,79481,38.0,21717,26297,31467,0,32.0,1,13.0,0,0,0,26493.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
38,77260,39.0,21519,24789,30952,1,33.0,1,13.0,0,0,0,25753.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
39,77236,40.0,21639,24691,30906,1,34.0,1,13.0,0,0,0,25745.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
40,76983,41.0,21477,24652,30854,1,35.0,1,13.0,0,0,0,25661.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
41,77138,42.0,21478,24593,31067,0,36.0,1,13.0,0,0,0,25712.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
42,76990,43.0,21505,24584,30901,0,37.0,1,13.0,0,0,0,25663.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
43,77132,44.0,21578,24516,31038,0,38.0,1,13.0,0,0,0,25710.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
44,78653,45.0,22905,24668,31080,0,39.0,1,13.0,0,0,0,26217.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
45,77602,46.0,21523,24992,31087,0,40.0,1,13.0,0,0,0,25867.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
46,77232,47.0,21487,24640,31105,0,41.0,1,13.0,0,0,0,25744.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
47,77322,48.0,21562,24682,31078,0,42.0,1,13.0,0,0,0,25774.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
48,77253,49.0,21619,24570,31064,0,43.0,1,13.0,0,0,0,25751.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
49,77413,50.0,21550,24749,31114,0,44.0,1,13.0,0,0,0,25804.33333333333,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
50,77061,51.0,21507,24614,30940,0,45.0,1,13.0,0,0,0,25687.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
51,77500,52.0,21671,24785,31044,0,46.0,1,13.0,0,0,0,25833.33333333333,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
52,77315,53.0,21526,24811,30978,0,47.0,1,13.0,0,0,0,25771.666666666668,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
53,77331,54.0,21575,24678,31078,0,48.0,1,13.0,0,0,0,25777.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
54,77181,55.0,21553,24624,31004,0,49.0,1,13.0,0,0,0,25727.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
55,78612,56.0,21901,25656,31055,0,50.0,1,13.0,0,0,0,26204.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
56,77601,57.0,21610,24998,30993,0,51.0,1,13.0,0,0,0,25867.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
57,95566,58.0,21920,25036,48610,0,52.0,1,15.0,0,1,0,31855.33333333333,0,1,0,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
58,78440,59.0,23307,24620,30513,0,1.0,1,15.0,0,0,1,26146.666666666668,0,0,1,1,0,0,0,0,0,0,1,0.0,1.0,0,0,1,1,1
59,75442,60.0,21037,24188,30217,1,2.0,1,15.0,0,0,0,25147.33333333333,0,0,1,1,0,0,0,0,0,0,1,0.0,1.0,0,0,1,1,1
