Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:38:14.204000,LEC,16,0 days 00:01:26.838000,11.0,1.0,,,0 days 00:00:28.279000,0 days 00:00:29.772000,0 days 00:00:28.787000,0 days 01:37:15.639000,0 days 01:37:45.411000,0 days 01:38:14.198000,,322.0,308.0,315.0,False,MEDIUM,11.0,True,Ferrari,0 days 01:36:47.366000,2023-09-03 13:37:48.411,1,3.0,False,,False,True
0 days 01:39:40.898000,LEC,16,0 days 00:01:26.694000,12.0,1.0,,,0 days 00:00:28.237000,0 days 00:00:29.915000,0 days 00:00:28.542000,0 days 01:38:42.435000,0 days 01:39:12.350000,0 days 01:39:40.892000,311.0,314.0,308.0,319.0,False,MEDIUM,12.0,True,Ferrari,0 days 01:38:14.204000,2023-09-03 13:39:15.249,1,3.0,False,,False,True
0 days 01:41:07.455000,LEC,16,0 days 00:01:26.557000,13.0,1.0,,,0 days 00:00:28.136000,0 days 00:00:29.853000,0 days 00:00:28.568000,0 days 01:40:09.028000,0 days 01:40:38.881000,0 days 01:41:07.449000,315.0,317.0,307.0,320.0,False,MEDIUM,13.0,True,Ferrari,0 days 01:39:40.898000,2023-09-03 13:40:41.943,1,3.0,False,,False,True
0 days 01:42:34.395000,LEC,16,0 days 00:01:26.940000,14.0,1.0,,,0 days 00:00:28.276000,0 days 00:00:30.041000,0 days 00:00:28.623000,0 days 01:41:35.725000,0 days 01:42:05.766000,0 days 01:42:34.389000,310.0,312.0,308.0,317.0,False,MEDIUM,14.0,True,Ferrari,0 days 01:41:07.455000,2023-09-03 13:42:08.500,1,3.0,False,,False,True
0 days 01:44:01.709000,LEC,16,0 days 00:01:27.314000,15.0,1.0,,,0 days 00:00:28.401000,0 days 00:00:30.047000,0 days 00:00:28.866000,0 days 01:43:02.790000,0 days 01:43:32.837000,0 days 01:44:01.703000,315.0,328.0,308.0,320.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:42:34.395000,2023-09-03 13:43:35.440,1,3.0,False,,False,True
0 days 01:45:28.864000,LEC,16,0 days 00:01:27.155000,16.0,1.0,,,0 days 00:00:28.242000,0 days 00:00:30.148000,0 days 00:00:28.765000,0 days 01:44:29.945000,0 days 01:45:00.093000,0 days 01:45:28.858000,325.0,325.0,309.0,334.0,False,MEDIUM,16.0,True,Ferrari,0 days 01:44:01.709000,2023-09-03 13:45:02.754,1,3.0,False,,False,True
0 days 01:46:56.534000,LEC,16,0 days 00:01:27.670000,17.0,1.0,,,0 days 00:00:28.308000,0 days 00:00:30.329000,0 days 00:00:29.033000,0 days 01:45:57.166000,0 days 01:46:27.495000,0 days 01:46:56.528000,316.0,324.0,311.0,330.0,False,MEDIUM,17.0,True,Ferrari,0 days 01:45:28.864000,2023-09-03 13:46:29.909,1,3.0,False,,False,True
0 days 01:48:24.032000,LEC,16,0 days 00:01:27.498000,18.0,1.0,,,0 days 00:00:28.199000,0 days 00:00:30.370000,0 days 00:00:28.929000,0 days 01:47:24.727000,0 days 01:47:55.097000,0 days 01:48:24.026000,315.0,322.0,309.0,322.0,False,MEDIUM,18.0,True,Ferrari,0 days 01:46:56.534000,2023-09-03 13:47:57.579,1,3.0,False,,False,True
0 days 01:49:51.734000,LEC,16,0 days 00:01:27.702000,19.0,1.0,,,0 days 00:00:28.304000,0 days 00:00:30.386000,0 days 00:00:29.012000,0 days 01:48:52.330000,0 days 01:49:22.716000,0 days 01:49:51.728000,312.0,322.0,306.0,327.0,False,MEDIUM,19.0,True,Ferrari,0 days 01:48:24.032000,2023-09-03 13:49:25.077,1,2.0,False,,False,True
0 days 01:51:22.889000,LEC,16,0 days 00:01:31.155000,20.0,1.0,,0 days 01:51:19.066000,0 days 00:00:28.176000,0 days 00:00:30.071000,0 days 00:00:32.908000,0 days 01:50:19.904000,0 days 01:50:49.975000,0 days 01:51:22.883000,,311.0,,,False,MEDIUM,20.0,True,Ferrari,0 days 01:49:51.734000,2023-09-03 13:50:52.779,1,3.0,False,,False,False
0 days 01:53:08.731000,LEC,16,0 days 00:01:45.842000,21.0,2.0,0 days 01:51:42.956000,,0 days 00:00:47.538000,0 days 00:00:29.973000,0 days 00:00:28.331000,0 days 01:52:10.421000,0 days 01:52:40.394000,0 days 01:53:08.725000,328.0,321.0,311.0,285.0,False,HARD,1.0,True,Ferrari,0 days 01:51:22.889000,2023-09-03 13:52:23.934,1,8.0,False,,False,False
0 days 01:54:34.473000,LEC,16,0 days 00:01:25.742000,22.0,2.0,,,0 days 00:00:28.116000,0 days 00:00:29.460000,0 days 00:00:28.166000,0 days 01:53:36.841000,0 days 01:54:06.301000,0 days 01:54:34.467000,311.0,320.0,311.0,341.0,False,HARD,2.0,True,Ferrari,0 days 01:53:08.731000,2023-09-03 13:54:09.776,1,6.0,False,,False,True
0 days 01:56:00.280000,LEC,16,0 days 00:01:25.807000,23.0,2.0,,,0 days 00:00:27.984000,0 days 00:00:29.553000,0 days 00:00:28.270000,0 days 01:55:02.451000,0 days 01:55:32.004000,0 days 01:56:00.274000,312.0,320.0,310.0,316.0,False,HARD,3.0,True,Ferrari,0 days 01:54:34.473000,2023-09-03 13:55:35.518,1,5.0,False,,False,True
0 days 01:57:26.213000,LEC,16,0 days 00:01:25.933000,24.0,2.0,,,0 days 00:00:27.945000,0 days 00:00:29.668000,0 days 00:00:28.320000,0 days 01:56:28.219000,0 days 01:56:57.887000,0 days 01:57:26.207000,311.0,321.0,311.0,329.0,False,HARD,4.0,True,Ferrari,0 days 01:56:00.280000,2023-09-03 13:57:01.325,1,4.0,False,,False,True
0 days 01:58:52.274000,LEC,16,0 days 00:01:26.061000,25.0,2.0,,,0 days 00:00:27.930000,0 days 00:00:29.720000,0 days 00:00:28.411000,0 days 01:57:54.137000,0 days 01:58:23.857000,0 days 01:58:52.268000,,321.0,311.0,347.0,False,HARD,5.0,True,Ferrari,0 days 01:57:26.213000,2023-09-03 13:58:27.258,1,4.0,False,,False,True
0 days 02:00:18.037000,LEC,16,0 days 00:01:25.763000,26.0,2.0,,,0 days 00:00:28.034000,0 days 00:00:29.494000,0 days 00:00:28.235000,0 days 01:59:20.302000,0 days 01:59:49.796000,0 days 02:00:18.031000,312.0,321.0,310.0,346.0,False,HARD,6.0,True,Ferrari,0 days 01:58:52.274000,2023-09-03 13:59:53.319,1,4.0,False,,False,True
0 days 02:01:44.271000,LEC,16,0 days 00:01:26.234000,27.0,2.0,,,0 days 00:00:28.016000,0 days 00:00:29.562000,0 days 00:00:28.656000,0 days 02:00:46.047000,0 days 02:01:15.609000,0 days 02:01:44.265000,,326.0,309.0,329.0,False,HARD,7.0,True,Ferrari,0 days 02:00:18.037000,2023-09-03 14:01:19.082,1,3.0,False,,False,True
0 days 02:03:09.934000,LEC,16,0 days 00:01:25.663000,28.0,2.0,,,0 days 00:00:28.012000,0 days 00:00:29.486000,0 days 00:00:28.165000,0 days 02:02:12.277000,0 days 02:02:41.763000,0 days 02:03:09.928000,310.0,321.0,310.0,328.0,True,HARD,8.0,True,Ferrari,0 days 02:01:44.271000,2023-09-03 14:02:45.316,1,3.0,False,,False,True
0 days 02:04:35.748000,LEC,16,0 days 00:01:25.814000,29.0,2.0,,,0 days 00:00:28.146000,0 days 00:00:29.642000,0 days 00:00:28.026000,0 days 02:03:38.074000,0 days 02:04:07.716000,0 days 02:04:35.742000,312.0,320.0,310.0,324.0,False,HARD,9.0,True,Ferrari,0 days 02:03:09.934000,2023-09-03 14:04:10.979,1,3.0,False,,False,True
0 days 02:06:01.530000,LEC,16,0 days 00:01:25.782000,30.0,2.0,,,0 days 00:00:28.142000,0 days 00:00:29.568000,0 days 00:00:28.072000,0 days 02:05:03.884000,0 days 02:05:33.452000,0 days 02:06:01.524000,311.0,319.0,310.0,342.0,False,HARD,10.0,True,Ferrari,0 days 02:04:35.748000,2023-09-03 14:05:36.793,1,3.0,False,,False,True
0 days 02:07:28.026000,LEC,16,0 days 00:01:26.496000,31.0,2.0,,,0 days 00:00:28.063000,0 days 00:00:30.061000,0 days 00:00:28.372000,0 days 02:06:29.587000,0 days 02:06:59.648000,0 days 02:07:28.020000,313.0,308.0,309.0,332.0,False,HARD,11.0,True,Ferrari,0 days 02:06:01.530000,2023-09-03 14:07:02.575,1,3.0,False,,False,True
0 days 02:08:54.895000,LEC,16,0 days 00:01:26.869000,32.0,2.0,,,0 days 00:00:28.786000,0 days 00:00:29.915000,0 days 00:00:28.168000,0 days 02:07:56.806000,0 days 02:08:26.721000,0 days 02:08:54.889000,,322.0,312.0,313.0,False,HARD,12.0,True,Ferrari,0 days 02:07:28.026000,2023-09-03 14:08:29.071,1,4.0,False,,False,True
0 days 02:10:20.857000,LEC,16,0 days 00:01:25.962000,33.0,2.0,,,0 days 00:00:28.143000,0 days 00:00:29.653000,0 days 00:00:28.166000,0 days 02:09:23.032000,0 days 02:09:52.685000,0 days 02:10:20.851000,315.0,323.0,312.0,322.0,False,HARD,13.0,True,Ferrari,0 days 02:08:54.895000,2023-09-03 14:09:55.940,1,4.0,False,,False,True
